index,latitude,longitude,cluster,subcluster
1,52.1163265,11.0831354,0,2
2,52.1165494,11.0831107,0,2
3,52.116405,11.0828069,0,0
4,52.1165022,11.0826105,0,0
5,52.1161647,11.0831357,0,1
1,52.116293,11.0843309,1,1
2,52.1161383,11.0844029,1,2
3,52.1162084,11.0843104,1,2
4,52.1164401,11.0847627,1,0
5,52.1165115,11.0847545,1,0
1,52.1161664,11.0854946,2,1
2,52.1160886,11.0856861,2,1
3,52.116275,11.0851493,2,0
4,52.1163568,11.084805,2,0
1,52.1164785,11.0836288,3,1
2,52.1163757,11.0838796,3,1
3,52.1162316,11.0833864,3,0
4,52.1160774,11.0832673,3,0
