latitude,longitude,cluster
52.1190479,11.049098,1
52.1185923,11.0489776,1
52.117585,11.0487041,1
52.117585,11.0487041,1
52.1170839,11.0485747,2
52.1165747,11.048433,2
52.1160681,11.0482968,2
52.1155152,11.0481866,2
52.1150664,11.0480682,2
52.1145321,11.0479258,0
52.113994,11.0477723,0
52.1135361,11.0476639,0
52.1130299,11.047527,0
52.1130385,11.0473604,0
52.1135397,11.0475011,0
52.1140256,11.047636,0
52.1146321,11.047783,0
52.1152047,11.047948,2
52.115783,11.048115,2
52.1164256,11.0482907,2
52.1169884,11.0484538,2
52.1175125,11.0486053,1
52.118082,11.0487605,1
52.1185966,11.048892,1
52.1191738,11.049043,1
52.1196386,11.048994,1
52.1189974,11.0488213,1
52.1184457,11.0486658,1
52.1177461,11.0484987,1
52.1172659,11.0483441,2
52.1166729,11.0481805,2
52.1161087,11.0480415,2
52.1155448,11.0479296,2
52.1148704,11.0477318,0
52.1143003,11.0475894,0
52.1137615,11.0474514,0
52.1132557,11.0473132,0
52.1130194,11.0470951,0
52.1136686,11.0472518,0
52.1141777,11.0473901,0
52.1147864,11.0475585,0
52.1154275,11.0477302,2
52.1160018,11.0478908,2
52.1166236,11.0480742,2
52.1172304,11.0482367,2
52.1177667,11.0483867,1
