index,latitude,longitude,cluster,subcluster
1,52.1146321,11.047783,0,1
2,52.1145321,11.0479258,0,1
3,52.1143003,11.0475894,0,3
4,52.1141777,11.0473901,0,3
5,52.1140256,11.047636,0,0
6,52.113994,11.0477723,0,0
7,52.1147864,11.0475585,0,2
8,52.1148704,11.0477318,0,2
1,52.1190479,11.049098,1,3
2,52.1185966,11.048892,1,3
3,52.1189974,11.0488213,1,2
4,52.1191738,11.049043,1,2
5,52.1185923,11.0489776,1,1
6,52.1184457,11.0486658,1,1
7,52.1196386,11.048994,1,0
1,52.1169884,11.0484538,2,1
2,52.1170839,11.0485747,2,1
3,52.1166729,11.0481805,2,3
4,52.1166236,11.0480742,2,3
5,52.1165747,11.048433,2,0
6,52.1164256,11.0482907,2,0
7,52.1172304,11.0482367,2,2
8,52.1172659,11.0483441,2,2
1,52.1135397,11.0475011,3,1
2,52.1135361,11.0476639,3,1
3,52.1132557,11.0473132,3,2
4,52.1130194,11.0470951,3,2
5,52.1130385,11.0473604,3,0
6,52.1130299,11.047527,3,0
7,52.1136686,11.0472518,3,3
8,52.1137615,11.0474514,3,3
1,52.1155152,11.0481866,4,1
2,52.1155448,11.0479296,4,4
3,52.1154275,11.0477302,4,4
4,52.115783,11.048115,4,0
5,52.1160681,11.0482968,4,0
6,52.1160018,11.0478908,4,2
7,52.1161087,11.0480415,4,2
8,52.1152047,11.047948,4,3
9,52.1150664,11.0480682,4,3
1,52.117585,11.0487041,5,0
2,52.1175125,11.0486053,5,0
3,52.117585,11.0487041,5,1
4,52.118082,11.0487605,5,1
5,52.1177461,11.0484987,5,2
6,52.1177667,11.0483867,5,2
