latitude,longitude,cluster
52.115374,11.0789732,0
52.1151871,11.0823838,0
52.1151486,11.0807066,0
52.1151879,11.0790403,0
52.1154111,11.0798286,0
52.1152569,11.0794633,0
52.1154789,11.0796259,0
52.1154293,11.0815055,0
52.1150679,11.0807484,0
52.1150852,11.0791695,0
52.1158427,11.0815084,0
52.1158967,11.0790277,0
52.1159079,11.0814403,0
52.1157337,11.0848456,0
52.1158578,11.0857251,0
52.1158965,11.0845145,0
52.115945,11.0829907,0
52.1159666,11.0840417,0
52.1160774,11.0832673,0
52.1160886,11.0856861,0
52.1161383,11.0844029,0
52.1161647,11.0831357,0
52.1162316,11.0833864,0
52.1162084,11.0843104,0
52.1161664,11.0854946,0
52.116275,11.0851493,0
52.116293,11.0843309,0
52.1163265,11.0831354,0
52.116405,11.0828069,0
52.1163757,11.0838796,0
52.1163568,11.084805,0
52.1164401,11.0847627,0
52.1164785,11.0836288,0
52.1165022,11.0826105,0
52.1165494,11.0831107,0
52.1165115,11.0847545,0
52.1165857,11.0838751,0
52.1134974,11.0828307,0
52.1107164,11.0687452,0
52.1108302,11.0679441,0
52.1112595,11.0673976,0
52.111229,11.0674195,0
52.1113577,11.0660099,0
52.1116281,11.0643216,0
52.112273,11.063083,0
52.1121524,11.0628352,0
52.112001,11.0635862,0
52.1122004,11.0602843,0
52.1111211,11.0618987,0
52.1108382,11.064384,0
52.1108382,11.064384,0
52.1085847,11.0612344,0
52.1190479,11.049098,0
52.1185923,11.0489776,0
52.117585,11.0487041,0
52.117585,11.0487041,0
52.1170839,11.0485747,0
52.1165747,11.048433,0
52.1160681,11.0482968,0
52.1155152,11.0481866,0
52.1150664,11.0480682,0
52.1145321,11.0479258,0
52.113994,11.0477723,0
52.1135361,11.0476639,0
52.1130299,11.047527,0
52.1130385,11.0473604,0
52.1135397,11.0475011,0
52.1140256,11.047636,0
52.1146321,11.047783,0
52.1152047,11.047948,0
52.115783,11.048115,0
52.1164256,11.0482907,0
52.1169884,11.0484538,0
52.1175125,11.0486053,0
52.118082,11.0487605,0
52.1185966,11.048892,0
52.1191738,11.049043,0
52.1196386,11.048994,0
52.1189974,11.0488213,0
52.1184457,11.0486658,0
52.1177461,11.0484987,0
52.1172659,11.0483441,0
52.1166729,11.0481805,0
52.1161087,11.0480415,0
52.1155448,11.0479296,0
52.1148704,11.0477318,0
52.1143003,11.0475894,0
52.1137615,11.0474514,0
52.1132557,11.0473132,0
52.1130194,11.0470951,0
52.1136686,11.0472518,0
52.1141777,11.0473901,0
52.1147864,11.0475585,0
52.1154275,11.0477302,0
52.1160018,11.0478908,0
52.1166236,11.0480742,0
52.1172304,11.0482367,0
52.1177667,11.0483867,0
52.1179986,11.0485271,0
52.1196007,11.0492451,0
52.1174442,11.04816,0
52.1169455,11.0480262,0
52.1163439,11.047868,0
52.1157561,11.0477167,0
52.1151968,11.0475674,0
52.1146887,11.0474324,0
52.1140322,11.0472557,0
52.1130265,11.0469923,0
52.1137685,11.0470311,0
52.1142449,11.0471626,0
52.1147348,11.0472778,0
52.1152905,11.0474481,0
